RTK number	Jisho meanings
706	arrest, seize, concerned, adhere to, despite
707	discard, throw away, abandon, resign, reject, sacrifice
708	kidnap, falsify
709	pinch, pick, pluck, trim, clip, summarize
710	challenge, contend for, make love to
711	finger, point to, indicate, put into, play (chess), measure (ruler)
712	hold, have
713	be imminent, draw close
714	fasten, tie up, arrest, constrict
715	brandish, wave, wag, swing, shake
716	conjecture, infer, guess, suppose, support, push (for)
717	raise, elevate, hoist, praise, extol, fry in deep fat
718	propose, take along, carry in hand
719	damage, loss, disadvantage, hurt, injure
720	pick up, gather, find, go on foot, ten
721	shouldering, carry, raise, bear
722	foothold, based on, follow, therefore
723	sketch, compose, write, draw, paint
724	maneuver, manipulate, operate, steer, chastity, virginity, fidelity
725	touch, contact, adjoin, piece together
726	put up (a notice), put up, hoist, display, hang out, publish, describe
727	hang, suspend, depend, arrive at, tax, pour
728	make progress
729	polish, study of, sharpen
730	commandment
731	play with, tamper, trifle with
732	contraption, fetter, machine, instrument
733	nose, snout
734	punish, penalty, sentence, punishment
735	mould, type, model
736	genius, years old, cubic shaku
737	property, money, wealth, assets
738	lumber, log, timber, wood, materials, ingredients, talent
739	exist, suppose, be aware of, believe, feel
740	exist, outskirts, suburbs, located in
741	from, possessive particle, whereupon, accordingly
742	portable, carry (in hand), armed with, bring along
743	reach out, exert, exercise, cause
744	suck, imbibe, inhale, sip
745	handle, entertain, thresh, strip
746	length, ten shaku, measure, Mr., Ms., height, stature, all (one has), only, that&#39;s all, merely
747	history, chronicle
748	officer, an official
749	grow late, night watch, sit up late, of course, renew, renovate, again, more and more, further
750	stiff, hard
751	for the most part, close up, flower stem
752	or again, furthermore, on the other hand
753	pair, set, comparison, counter for pairs
754	mulberry
755	vessels, counter for ships, fish, birds, arrows, one of a pair
756	safeguard, protect
757	seize, get, find, earn, acquire, can, may, able to
758	guy, slave, manservant, fellow
759	angry, be offended
760	friend
761	slip out, extract, pull out, pilfer, quote, remove, omit
762	throw, discard, abandon, launch into, join, invest in, hurl, give up, sell at a loss
763	drown, sink, hide, fall into, disappear, die
764	thigh, crotch
765	establishment, provision, prepare
766	beat, attack, defeat, conquer
767	husk, nut shell
768	branch, support, sustain, branch radical (no. 65)
769	skill, art, craft, ability, feat, performance, vocation, arts
